timestamp,open,high,low,close,volume,fut_open,fut_high,fut_low,fut_close,fut_volume,fut_oi,ce_close,ce_oi,ce_vol,pe_close,pe_oi,pe_vol
2025-10-29 09:15:00+05:30,25982.0,26022.85,25966.0,25979.75,0,26400.0,26497.2,26350.0,26457.4,2795,1495,1235.05,787350.0,3225.0,547.8666666666667,1465750,9600
2025-10-29 09:20:00+05:30,25980.55,25992.5,25968.4,25988.55,0,26457.4,26474.1,26457.4,26458.5,2600,2730,1584.2375,984425.0,2925.0,552.3333333333334,1468600,11100
2025-10-29 09:25:00+05:30,25990.3,26016.85,25988.15,26010.0,0,26458.5,26499.0,26458.5,26494.0,1950,4940,1610.125,983730.0,3805.0,501.0875,1469115,11605
2025-10-29 09:30:00+05:30,26010.75,26025.05,25996.3,25996.35,0,26494.0,26500.0,26492.0,26492.0,1755,7345,1607.55,986345.0,8520.0,500.275,1468315,13365
2025-10-29 09:35:00+05:30,25996.9,25996.9,25963.2,25965.2,0,26492.0,26492.0,26460.0,26464.5,1625,8060,1596.8375,986540.0,505.0,512.725,1470915,7795
2025-10-29 09:40:00+05:30,25965.7,25975.25,25960.3,25972.3,0,26464.5,26474.2,26460.0,26470.1,1495,8710,1589.8375,986960.0,1640.0,512.0625,1470970,8280
2025-10-29 09:45:00+05:30,25970.55,25995.5,25965.0,25968.15,0,26470.1,26485.0,26465.0,26465.0,1040,9685,1590.625,986810.0,1115.0,508.1,1469985,10085
2025-10-29 09:50:00+05:30,25968.15,25988.75,25966.0,25988.2,0,26465.0,26483.1,26465.0,26468.6,390,9945,1588.2,986950.0,730.0,505.9875,1474335,8850
2025-10-29 09:55:00+05:30,25988.4,25995.6,25979.25,25983.7,0,26468.6,26480.0,26468.6,26470.1,260,9945,1590.275,987550.0,2390.0,507.7125,1475645,6590
2025-10-29 10:00:00+05:30,25983.6,26004.95,25983.6,25995.55,0,26470.1,26490.0,26470.1,26490.0,650,10465,1598.8125,987465.0,1910.0,604.96,1477925,3460
