timestamp,open,high,low,close,volume,oi,contract_symbol,expiry
2025-10-29 09:15:00+05:30,26400.0,26497.2,26350.0,26457.4,2795,1495,NIFTY26JANFUT,2026-01-27
2025-10-29 09:20:00+05:30,26457.4,26474.1,26457.4,26458.5,2600,2730,NIFTY26JANFUT,2026-01-27
2025-10-29 09:25:00+05:30,26458.5,26499.0,26458.5,26494.0,1950,4940,NIFTY26JANFUT,2026-01-27
2025-10-29 09:30:00+05:30,26494.0,26500.0,26492.0,26492.0,1755,7345,NIFTY26JANFUT,2026-01-27
2025-10-29 09:35:00+05:30,26492.0,26492.0,26460.0,26464.5,1625,8060,NIFTY26JANFUT,2026-01-27
2025-10-29 09:40:00+05:30,26464.5,26474.2,26460.0,26470.1,1495,8710,NIFTY26JANFUT,2026-01-27
2025-10-29 09:45:00+05:30,26470.1,26485.0,26465.0,26465.0,1040,9685,NIFTY26JANFUT,2026-01-27
2025-10-29 09:50:00+05:30,26465.0,26483.1,26465.0,26468.6,390,9945,NIFTY26JANFUT,2026-01-27
2025-10-29 09:55:00+05:30,26468.6,26480.0,26468.6,26470.1,260,9945,NIFTY26JANFUT,2026-01-27
2025-10-29 10:00:00+05:30,26470.1,26490.0,26470.1,26490.0,650,10465,NIFTY26JANFUT,2026-01-27
2025-10-29 10:05:00+05:30,26490.0,26490.0,26485.0,26489.5,455,10660,NIFTY26JANFUT,2026-01-27
2025-10-29 10:10:00+05:30,26489.5,26494.0,26481.1,26492.0,1105,10855,NIFTY26JANFUT,2026-01-27
2025-10-29 10:15:00+05:30,26492.0,26492.0,26481.0,26481.0,585,11505,NIFTY26JANFUT,2026-01-27
2025-10-29 10:20:00+05:30,26481.0,26500.0,26481.0,26500.0,2860,12285,NIFTY26JANFUT,2026-01-27
2025-10-29 10:25:00+05:30,26500.0,26545.0,26500.0,26545.0,4420,13000,NIFTY26JANFUT,2026-01-27
2025-10-29 10:30:00+05:30,26545.0,26581.3,26543.0,26575.0,3315,17680,NIFTY26JANFUT,2026-01-27
2025-10-29 10:35:00+05:30,26575.0,26575.0,26550.0,26550.0,2340,18915,NIFTY26JANFUT,2026-01-27
2025-10-29 10:40:00+05:30,26550.0,26559.9,26550.0,26558.9,780,19760,NIFTY26JANFUT,2026-01-27
2025-10-29 10:45:00+05:30,26557.9,26559.5,26550.0,26550.0,2340,20410,NIFTY26JANFUT,2026-01-27
2025-10-29 10:50:00+05:30,26550.0,26553.7,26545.0,26545.0,2015,21840,NIFTY26JANFUT,2026-01-27
2025-10-29 10:55:00+05:30,26545.0,26559.3,26540.0,26555.0,1365,23725,NIFTY26JANFUT,2026-01-27
