Dataset,Total Return %,Sharpe,Sortino,Calmar,Max Drawdown %,Total Trades,Win Rate %,Profit Factor,Avg Trade Duration (bars)
TRAIN (70%),1.5,3.789,1.565,2.995,-0.5,118,46.61,0.97,2.17
TEST (30%),1.03,5.65,3.069,2.751,-0.37,49,53.06,1.484,2.35
